Date,Open,High,Low,Close,Adj Close,Volume
2013-06-14,438.406738,453.719360,435.432892,440.718079,440.718079,25788501
2013-06-21,442.511353,443.278473,430.013214,436.897400,436.897400,26720380
2013-06-28,435.816467,444.374390,435.462769,441.559937,441.559937,14077771
2013-07-05,443.343231,458.685730,442.013214,458.401794,458.401794,19961340
2013-07-12,458.282257,462.267303,449.908630,453.639648,453.639648,23391951
2013-07-19,441.649597,454.795319,436.170135,442.192566,442.192566,34905948
2013-07-26,441.838867,450.586090,438.790314,450.421722,450.421722,19547195
2013-08-02,450.033173,453.156464,440.992065,444.663300,444.663300,14849250
2013-08-09,443.617218,446.087952,427.398010,428.224915,428.224915,16204311
2013-08-16,429.031891,436.817688,426.670746,435.223663,435.223663,14747470
2013-08-23,437.275970,437.360657,422.302094,426.117798,426.117798,13394218
2013-08-30,426.282196,438.297150,421.201233,438.137756,438.137756,14537687
2013-09-06,439.572388,447.273499,435.238617,444.862549,444.862549,13630700
2013-09-13,445.579865,451.303406,438.855072,447.517609,447.517609,14963678
2013-09-20,447.517609,450.376892,435.866272,437.445343,437.445343,21115652
2013-09-27,435.776611,445.380615,432.533752,436.409241,436.409241,16618659
2013-10-04,435.866272,437.116577,419.916046,432.498901,432.498901,19075030
2013-10-11,431.398010,447.487701,431.034363,442.735504,442.735504,21095979
2013-10-18,486.466614,518.342102,485.181427,510.860168,510.860168,44483312
2013-10-25,512.489075,518.815369,503.482819,513.365784,513.365784,15574760
2013-11-01,513.968506,516.065674,501.938599,502.093018,502.093018,12438448
2013-11-08,502.491547,517.933655,500.623535,515.682068,515.682068,12782934
2013-11-15,515.502747,522.411865,508.274872,515.104248,515.104248,12492852
2013-11-22,514.780457,532.005920,512.688293,529.570068,529.570068,12601256
2013-11-29,529.096802,531.318481,522.551331,526.695801,526.695801,13184033
2013-12-06,532.897583,544.115540,528.060669,532.982239,532.982239,16207723
2013-12-13,535.692078,543.956116,526.969788,541.081909,541.081909,18420987
2013-12-20,542.117981,557.410706,541.968567,556.643555,556.643555,14163290
2013-12-27,557.908813,558.406982,551.064453,554.481689,554.481689,12015066
2014-01-03,555.418152,571.517822,550.401978,563.009705,563.009705,20708531
2014-01-10,567.413208,576.802979,556.499084,575.951172,575.951172,21438256
2014-01-17,576.265015,581.764404,569.963623,577.883972,577.883972,16464883
2014-01-24,573.355896,574.621155,539.114258,565.575073,565.575073,35989595
2014-01-31,583.487915,591.054565,561.903870,577.814209,577.814209,34706402
2014-02-07,581.634888,597.709656,578.113098,597.709656,597.709656,20462613
2014-02-14,595.572632,604.170410,594.172913,599.806763,599.806763,16260722
2014-02-21,601.649841,612.145508,599.174133,607.328613,607.328613,16496603
2014-02-28,607.891479,610.785645,593.844116,607.527832,607.527832,16841892
2014-03-07,611.109436,611.204041,589.883972,592.309875,592.309875,17570813
2014-03-14,588.788086,603.732056,584.075745,596.344727,596.344727,19208930
2014-03-21,600.902649,602.556458,551.406128,556.930969,556.930969,22568965
2014-03-28,559.663452,603.174011,555.405151,568.180054,568.180054,5306229
2014-04-04,573.076599,576.188049,525.706665,539.468872,539.468872,21289892
2014-04-11,531.091858,555.474915,517.040466,534.632141,534.632141,22057793
2014-04-18,534.632141,535.759094,520.690430,523.722107,523.722107,8867579
2014-04-25,521.079407,531.470825,501.423340,529.895203,529.895203,11791686
2014-05-02,532.298584,532.537903,501.921967,509.600891,509.600891,9647314
2014-05-09,509.351563,534.602234,502.819519,518.556274,518.556274,8901572
2014-05-16,519.962463,546.100708,514.028748,543.567627,543.567627,7359952
2014-05-23,545.761597,566.285278,542.211365,558.546509,558.546509,7042482
2014-05-30,559.264526,559.813049,537.274902,552.383423,552.383423,8578387
2014-06-06,556.532043,562.056885,546.958313,549.840393,549.840393,7114579
2014-06-13,550.747925,553.480408,537.853333,553.380676,553.380676,8566255
2014-06-20,555.325378,580.855286,548.885010,574.422913,574.422913,11963656
2014-06-27,575.599670,583.837097,572.228943,583.129028,583.129028,6769234
2014-07-04,582.161682,584.824341,563.463013,569.536316,569.536316,5447616
2014-07-11,570.344116,586.789001,567.053162,572.159119,572.159119,9512544
2014-07-18,591.376404,598.008179,580.406494,591.725403,591.725403,10043799
